created_at;full_text;label;casefold;cleaned;tokens;stopword_removed;stemmed;final_text
Thu May 23 13:00:11 +0000 2024;aespa ì—ìŠ¤íŒŒ 'Armageddon' Album Details (MY Power Ver.) aespa ì—ìŠ¤íŒŒ The 1st Album ã€–Armageddonã€— Armageddon 2024.05.27 6PM (KST) https://t.co/mebaOfaW7I https://t.co/8IVqBeE9vE #aespa #Ã¦spa #ì—ìŠ¤íŒŒ #Armageddon #aespaArmageddon #Supernova #aespaSupernova https://t.co/vKTjJPN1zv;Informasi;aespa ì—ìš¤íœœ 'armageddon' album details (my power ver.) aespa ì—ìš¤íœœ the 1st album ã€–armageddonã€— armageddon 2024.05.27 6pm (kst) https://t.co/mebaofaw7i https://t.co/8ivqbee9ve #aespa #ã¦spa #ì—ìš¤íœœ #armageddon #aespaarmageddon #supernova #aespasupernova https://t.co/vktjjpn1zv;aespa armageddon album details my power ver aespa the st album armageddon armageddon pm kst aespa spa armageddon aespaarmageddon supernova aespasupernova;['aespa', 'armageddon', 'album', 'details', 'my', 'power', 'ver', 'aespa', 'the', 'st', 'album', 'armageddon', 'armageddon', 'pm', 'kst', 'aespa', 'spa', 'armageddon', 'aespaarmageddon', 'supernova', 'aespasupernova'];['armageddon', 'album', 'details', 'power', 'ver', 'st', 'album', 'armageddon', 'armageddon', 'pm', 'kst', 'armageddon', 'aespaarmageddon', 'supernova', 'aespasupernova'];['armageddon', 'album', 'details', 'power', 'ver', 'st', 'album', 'armageddon', 'armageddon', 'pm', 'kst', 'armageddon', 'aespaarmageddon', 'supernova', 'aespasupernova'];armageddon album details power ver st album armageddon armageddon pm kst armageddon aespaarmageddon supernova aespasupernova
Thu May 23 15:03:03 +0000 2024;aespa ì—ìŠ¤íŒŒ 'Armageddon' Album Details (CDP Ver.) aespa ì—ìŠ¤íŒŒ The 1st Album ã€–Armageddonã€— Armageddon 2024.05.27 6PM (KST) https://t.co/mebaOfaW7I https://t.co/8IVqBeE9vE #aespa #Ã¦spa #ì—ìŠ¤íŒŒ #Armageddon #aespaArmageddon #Supernova #aespaSupernova https://t.co/DMbMKch3lE;Informasi;aespa ì—ìš¤íœœ 'armageddon' album details (cdp ver.) aespa ì—ìš¤íœœ the 1st album ã€–armageddonã€— armageddon 2024.05.27 6pm (kst) https://t.co/mebaofaw7i https://t.co/8ivqbee9ve #aespa #ã¦spa #ì—ìš¤íœœ #armageddon #aespaarmageddon #supernova #aespasupernova https://t.co/dmbmkch3le;aespa armageddon album details cdp ver aespa the st album armageddon armageddon pm kst aespa spa armageddon aespaarmageddon supernova aespasupernova;['aespa', 'armageddon', 'album', 'details', 'cdp', 'ver', 'aespa', 'the', 'st', 'album', 'armageddon', 'armageddon', 'pm', 'kst', 'aespa', 'spa', 'armageddon', 'aespaarmageddon', 'supernova', 'aespasupernova'];['armageddon', 'album', 'details', 'cdp', 'ver', 'st', 'album', 'armageddon', 'armageddon', 'pm', 'kst', 'armageddon', 'aespaarmageddon', 'supernova', 'aespasupernova'];['armageddon', 'album', 'details', 'cdp', 'ver', 'st', 'album', 'armageddon', 'armageddon', 'pm', 'kst', 'armageddon', 'aespaarmageddon', 'supernova', 'aespasupernova'];armageddon album details cdp ver st album armageddon armageddon pm kst armageddon aespaarmageddon supernova aespasupernova
Thu May 23 15:05:47 +0000 2024;aespa ì—ìŠ¤íŒŒ 'Armageddon' CDP aespa ì—ìŠ¤íŒŒ The 1st Album ã€–Armageddonã€— Armageddon 2024.05.27 6PM (KST) https://t.co/mebaOfaW7I https://t.co/8IVqBeE9vE #aespa #Ã¦spa #ì—ìŠ¤íŒŒ #Armageddon #aespaArmageddon #Supernova #aespaSupernova https://t.co/JnuP23F4JZ;Informasi;aespa ì—ìš¤íœœ 'armageddon' cdp aespa ì—ìš¤íœœ the 1st album ã€–armageddonã€— armageddon 2024.05.27 6pm (kst) https://t.co/mebaofaw7i https://t.co/8ivqbee9ve #aespa #ã¦spa #ì—ìš¤íœœ #armageddon #aespaarmageddon #supernova #aespasupernova https://t.co/jnup23f4jz;aespa armageddon cdp aespa the st album armageddon armageddon pm kst aespa spa armageddon aespaarmageddon supernova aespasupernova;['aespa', 'armageddon', 'cdp', 'aespa', 'the', 'st', 'album', 'armageddon', 'armageddon', 'pm', 'kst', 'aespa', 'spa', 'armageddon', 'aespaarmageddon', 'supernova', 'aespasupernova'];['armageddon', 'cdp', 'st', 'album', 'armageddon', 'armageddon', 'pm', 'kst', 'armageddon', 'aespaarmageddon', 'supernova', 'aespasupernova'];['armageddon', 'cdp', 'st', 'album', 'armageddon', 'armageddon', 'pm', 'kst', 'armageddon', 'aespaarmageddon', 'supernova', 'aespasupernova'];armageddon cdp st album armageddon armageddon pm kst armageddon aespaarmageddon supernova aespasupernova
Thu May 23 14:05:21 +0000 2024;ï¸ Imma get it Done https://t.co/Oll7dJ63Ox #OnlyonReels #aespa #ì—ìŠ¤íŒŒ #WINTER #ìœˆí„° #NINGNING #ë‹ë‹ #Armageddon #aespaArmageddon;Informasi;ï¸ imma get it done https://t.co/oll7dj63ox #onlyonreels #aespa #ì—ìš¤íœœ #winter #ìœˆí„° #ningning #ë‹ë‹ #armageddon #aespaarmageddon;imma get it done onlyonreels aespa winter ningning armageddon aespaarmageddon;['imma', 'get', 'it', 'done', 'onlyonreels', 'aespa', 'winter', 'ningning', 'armageddon', 'aespaarmageddon'];['imma', 'get', 'done', 'onlyonreels', 'winter', 'ningning', 'armageddon', 'aespaarmageddon'];['imma', 'get', 'done', 'onlyonreels', 'winter', 'ningning', 'armageddon', 'aespaarmageddon'];imma get done onlyonreels winter ningning armageddon aespaarmageddon
Thu May 30 22:29:39 +0000 2024;4 shots pour it up ARMAGEDDON or whatever aespa said https://t.co/NWXFGeqcU3;Opini/Ekspresi;4 shots pour it up armageddon or whatever aespa said https://t.co/nwxfgeqcu3;shots pour it up armageddon or whatever aespa said;['shots', 'pour', 'it', 'up', 'armageddon', 'or', 'whatever', 'aespa', 'said'];['shots', 'pour', 'armageddon', 'whatever', 'said'];['shots', 'pour', 'armageddon', 'whatever', 'said'];shots pour armageddon whatever said
Thu May 30 23:04:44 +0000 2024;Omfg that's aespa https://t.co/nxiuqZ2bxY;Opini/Ekspresi;omfg that's aespa https://t.co/nxiuqz2bxy;omfg that s aespa;['omfg', 'that', 's', 'aespa'];['omfg'];['omfg'];omfg
Thu May 30 21:51:47 +0000 2024;Top 15 most streamed song by Kpop Artist on Spotify of 29 May 2024: #JENNIE #AESPA #ILLIT #JIMIN #JUNGKOOK #NEWJEANS #V #RM #ZICO #BABYMONSTER https://t.co/G9e9YsVlLo;Informasi;top 15 most streamed song by kpop artist on spotify of 29 may 2024: #jennie #aespa #illit #jimin #jungkook #newjeans #v #rm #zico #babymonster https://t.co/g9e9ysvllo;top most streamed song by kpop artist on spotify of may jennie aespa illit jimin jungkook newjeans v rm zico babymonster;['top', 'most', 'streamed', 'song', 'by', 'kpop', 'artist', 'on', 'spotify', 'of', 'may', 'jennie', 'aespa', 'illit', 'jimin', 'jungkook', 'newjeans', 'v', 'rm', 'zico', 'babymonster'];['top', 'streamed', 'song', 'kpop', 'artist', 'spotify', 'may', 'jennie', 'illit', 'jimin', 'jungkook', 'newjeans', 'v', 'rm', 'zico', 'babymonster'];['top', 'streamed', 'song', 'kpop', 'artist', 'spotify', 'may', 'jennie', 'illit', 'jimin', 'jungkook', 'newjeans', 'v', 'rm', 'zico', 'babymonster'];top streamed song kpop artist spotify may jennie illit jimin jungkook newjeans v rm zico babymonster
Thu May 30 23:28:00 +0000 2024; Armageddon debuts at #4 on this weeks QQ Music K-pop Songs Chart!!ðŸ‡¨ðŸ‡³ #aespa @aespa_official https://t.co/tRRvkilYLZ;Informasi; armageddon debuts at #4 on this weeks qq music k-pop songs chart!!ðÿ‡¨ðÿ‡³ #aespa @aespa_official https://t.co/trrvkilylz;armageddon debuts at on this weeks qq music k pop songs chart aespa;['armageddon', 'debuts', 'at', 'on', 'this', 'weeks', 'qq', 'music', 'k', 'pop', 'songs', 'chart', 'aespa'];['armageddon', 'debuts', 'weeks', 'qq', 'music', 'k', 'pop', 'songs', 'chart'];['armageddon', 'debuts', 'weeks', 'qq', 'music', 'k', 'pop', 'songs', 'chart'];armageddon debuts weeks qq music k pop songs chart
Thu May 30 23:20:24 +0000 2024;i m telling y all dragging aespa will be your greatest nightmare because they will always prevail;Opini/Ekspresi;i m telling y all dragging aespa will be your greatest nightmare because they will always prevail;i m telling y all dragging aespa will be your greatest nightmare because they will always prevail;['i', 'm', 'telling', 'y', 'all', 'dragging', 'aespa', 'will', 'be', 'your', 'greatest', 'nightmare', 'because', 'they', 'will', 'always', 'prevail'];['telling', 'dragging', 'greatest', 'nightmare', 'always', 'prevail'];['telling', 'dragging', 'greatest', 'nightmare', 'always', 'prevail'];telling dragging greatest nightmare always prevail
Thu May 30 23:29:20 +0000 2024; Armageddon Album tracks debuts on QQ Music K-pop Songs Chart ðŸ‡¨ðŸ‡³ #4 Armageddon ðŸ†• #5 Supernova (RE) #7 Set The Tone ðŸ†• #8 BAHAMA ðŸ†• #9 Live My LifeðŸ†• #12 MineðŸ†• #13 Licorice ðŸ†• #14 Prologue ðŸ†• #18 Long Chat (#ï¸) ðŸ†• #19 Melody ðŸ†• #aespa @aespa_official https://t.co/XNt0eIsjZs;Informasi; armageddon album tracks debuts on qq music k-pop songs chart ðÿ‡¨ðÿ‡³ #4 armageddon ðÿ†• #5 supernova (re) #7 set the tone ðÿ†• #8 bahama ðÿ†• #9 live my lifeðÿ†• #12 mineðÿ†• #13 licorice ðÿ†• #14 prologue ðÿ†• #18 long chat (#ï¸) ðÿ†• #19 melody ðÿ†• #aespa @aespa_official https://t.co/xnt0eisjzs;armageddon album tracks debuts on qq music k pop songs chart armageddon supernova re set the tone bahama live my life mine licorice prologue long chat melody aespa;['armageddon', 'album', 'tracks', 'debuts', 'on', 'qq', 'music', 'k', 'pop', 'songs', 'chart', 'armageddon', 'supernova', 're', 'set', 'the', 'tone', 'bahama', 'live', 'my', 'life', 'mine', 'licorice', 'prologue', 'long', 'chat', 'melody', 'aespa'];['armageddon', 'album', 'tracks', 'debuts', 'qq', 'music', 'k', 'pop', 'songs', 'chart', 'armageddon', 'supernova', 'set', 'tone', 'bahama', 'live', 'life', 'mine', 'licorice', 'prologue', 'long', 'chat', 'melody'];['armageddon', 'album', 'tracks', 'debuts', 'qq', 'music', 'k', 'pop', 'songs', 'chart', 'armageddon', 'supernova', 'set', 'tone', 'bahama', 'live', 'life', 'mine', 'licorice', 'prologue', 'long', 'chat', 'melody'];armageddon album tracks debuts qq music k pop songs chart armageddon supernova set tone bahama live life mine licorice prologue long chat melody
